X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,latitude,longitude,zip_code,NAME
-13642031.74,5696806.2871,1,23-190779,2023/10/26 21:17:37+00,1,14,3,0,5,200,1.0,111-115th and SE FOSTER RD,2023/10/26 21:36:44+00,,1.0,45.47621706316283,-122.54845618485629,97266.0,Powellhurst-Gilbert
-13640492.913,5704175.2191,2,23-198050,2023/10/11 17:26:00+00,2,3,0,0,5,20,0.0,0-12599 E BURNSIDE ST,2023/10/11 18:36:17+00,,1.0,45.52261510002688,-122.53463266671912,97233.0,Hazelwood
-13656226.932,5703145.1861,3,23-185173,2023/09/01 17:36:25+00,0,0,0,0,5,0,0.0,200-299 SW SALMON ST,2023/09/01 17:36:47+00,,0.0,45.5161318578791,-122.6759737642024,97204.0,Portland Downtown
-13645208.8185,5699758.3109,4,22-96683,2023/02/02 19:03:30+00,13,17,0,0,5,80,1.0,SE 83rd - 84th and Bush,2023/02/02 19:36:48+00,,0.0,45.49480889373074,-122.57699636661026,97266.0,Lents
-13655976.0441,5704290.3959,5,24-14593,2024/03/15 19:40:53+00,3,10,0,0,5,20,0.0,1-3 NW 3RD AVE ,2024/03/15 20:36:42+00,,1.0,45.52334000034926,-122.6737199998507,97209.0,Old Town
-13652194.607,5713580.0121,6,23-138889,2024/01/03 19:32:57+00,0,2,0,0,5,10,0.0,2515 NE RIVERSIDE WAY,2024/01/03 19:36:39+00,,0.0,45.58177627644776,-122.63975077242203,97211.0,Sunderland
-13654193.527,5702922.1681,7,23-203070,2023/10/25 21:48:06+00,3,3,0,0,5,10,0.0,1100-1199 SE 8TH AVE,2023/10/25 22:36:14+00,,0.0,45.51472803777498,-122.65770737629936,97214.0,Buckman
-13657933.627,5695672.8691,8,23-173495,2023/07/27 16:12:22+00,1,4,0,0,5,7,0.0,SW Barbur and Multnomah Blvd,2023/07/27 16:36:43+00,,0.0,45.46907717227427,-122.69130526624072,97219.0,Hillsdale
-13654246.138,5706067.1111,9,23-147846,2023/05/19 19:12:34+00,1,1,0,0,5,10,0.0,NE Weidler between 7th and 8th ,2023/05/19 19:36:43+00,,0.0,45.534521116042846,-122.65817998895348,97232.0,Lloyd
-13643717.8836,5697023.5241,10,24-09964,2024/02/22 20:55:13+00,2,2,0,0,5,40,0.0,"6204-6299 SE 97TH AVE, PORTLAND  97266",2024/02/22 21:36:44+00,,0.0,45.4775854298172,-122.56360307052731,97266.0,Lents
-13654459.367,5701854.0181,11,23-140482,2023/04/20 16:54:47+00,5,7,0,0,5,25,0.0,500-599 SE LINCOLN ST,2023/04/20 17:36:47+00,,1.0,45.50800392255907,-122.66009545765064,97214.0,Hosford-Abernethy
-13654277.788,5703598.4331,12,23-138535,2023/04/28 17:41:17+00,3,1,0,0,5,5,0.0,500-599 SE 7TH AVE,2023/04/28 18:36:45+00,,0.0,45.51898478089506,-122.6584643057409,97214.0,Buckman
-13655287.5953,5706407.4425,13,24-12114,2024/03/13 21:32:46+00,1,2,0,0,5,30,0.0,I-5 ROW near NE Hancock,2024/03/13 21:36:38+00,,1.0,45.53666261519592,-122.66753555905696,97227.0,Eliot
-13642201.334,5697101.2861,14,23-208964,2023/11/22 22:08:52+00,6,10,0,0,5,40,0.0,SWCT at 112th,2023/11/22 22:36:34+00,,0.0,45.478075241282774,-122.54997967367925,97266.0,Lents
-13656285.344,5701851.8821,15,23-165549,2023/07/28 20:27:51+00,0,0,0,0,5,20,0.0,2150-2169 S HARBOR VIA,2023/07/28 20:36:43+00,,0.0,45.507990475412335,-122.67649848812616,97201.0,Portland Downtown
-13656469.919,5705636.4661,16,23-153708,2023/06/01 21:53:40+00,0,0,0,0,5,0,0.0,1207 NW NAITO PKWY,2023/06/01 22:36:42+00,,0.0,45.53181121127791,-122.67815655356182,97209.0,Pearl District
-13641484.3512,5705598.0255,17,23-157005,2023/06/08 19:55:03+00,3,7,0,0,5,30,0.0,NE 116th and Multnomah,2023/06/08 20:36:49+00,,0.0,45.53156931110753,-122.54353890760233,97220.0,Hazelwood
