X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,Latitude,Longitude
-13642031.74,5696806.287,1,23-190779,2023/10/26 21:17:37+00,1,14,3,0,5,200,1,111-115th and SE FOSTER RD,2023/10/26 21:36:44+00,,1,45.476217062532925,-122.5484562
-13640492.91,5704175.219,2,23-198050,2023/10/11 17:26:00+00,2,3,0,0,5,20,0,0-12599 E BURNSIDE ST,2023/10/11 18:36:17+00,,1,45.5226151,-122.5346326
-13656226.93,5703145.186,3,23-185173,2023/09/01 17:36:25+00,0,0,0,0,5,0,0,200-299 SW SALMON ST,2023/09/01 17:36:47+00,,0,45.51613185724966,-122.6759737
-13645208.82,5699758.311,4,22-96683,2023/02/02 19:03:30+00,13,17,0,0,5,80,1,SE 83rd - 84th and Bush,2023/02/02 19:36:48+00,,0,45.49480889436044,-122.5769964
-13655976.04,5704290.396,5,24-14593,2024/03/15 19:40:53+00,3,10,0,0,5,20,0,1-3 NW 3RD AVE ,2024/03/15 20:36:42+00,,1,45.52334000097863,-122.67372
-13652194.61,5713580.012,6,23-138889,2024/01/03 19:32:57+00,0,2,0,0,5,10,0,2515 NE RIVERSIDE WAY,2024/01/03 19:36:39+00,,0,45.58177627581903,-122.6397508
-13654193.53,5702922.168,7,23-203070,2023/10/25 21:48:06+00,3,3,0,0,5,10,0,1100-1199 SE 8TH AVE,2023/10/25 22:36:14+00,,0,45.51472803714551,-122.6577074
-13657933.63,5695672.869,8,23-173495,2023/07/27 16:12:22+00,1,4,0,0,5,7,0,SW Barbur and Multnomah Blvd,2023/07/27 16:36:43+00,,0,45.46907717164429,-122.6913053
-13654246.14,5706067.111,9,23-147846,2023/05/19 19:12:34+00,1,1,0,0,5,10,0,NE Weidler between 7th and 8th ,2023/05/19 19:36:43+00,,0,45.53452111541359,-122.65818
-13643717.88,5697023.524,10,24-09964,2024/02/22 20:55:13+00,2,2,0,0,5,40,0,"6204-6299 SE 97TH AVE, PORTLAND  97266",2024/02/22 21:36:44+00,,0,45.47758542918732,-122.563603
-13654459.37,5701854.018,11,23-140482,2023/04/20 16:54:47+00,5,7,0,0,5,25,0,500-599 SE LINCOLN ST,2023/04/20 17:36:47+00,,1,45.50800392192953,-122.6600955
-13654277.79,5703598.433,12,23-138535,2023/04/28 17:41:17+00,3,1,0,0,5,5,0,500-599 SE 7TH AVE,2023/04/28 18:36:45+00,,0,45.51898478026564,-122.6584643
-13655287.6,5706407.443,13,24-12114,2024/03/13 21:32:46+00,1,2,0,0,5,30,0,I-5 ROW near NE Hancock,2024/03/13 21:36:38+00,,1,45.53666261834206,-122.6675356
-13642201.33,5697101.286,14,23-208964,2023/11/22 22:08:52+00,6,10,0,0,5,40,0,SWCT at 112th,2023/11/22 22:36:34+00,,0,45.47807524,-122.5499796
-13656285.34,5701851.882,15,23-165549,2023/07/28 20:27:51+00,0,0,0,0,5,20,0,2150-2169 S HARBOR VIA,2023/07/28 20:36:43+00,,0,45.50799047478279,-122.6764985
-13656469.92,5705636.466,16,23-153708,2023/06/01 21:53:40+00,0,0,0,0,5,0,0,1207 NW NAITO PKWY,2023/06/01 22:36:42+00,,0,45.531811210648634,-122.6781566
-13641484.35,5705598.026,17,23-157005,2023/06/08 19:55:03+00,3,7,0,0,5,30,0,NE 116th and Multnomah,2023/06/08 20:36:49+00,,0,45.53156931425395,-122.5435389
-13651435.99,5715094.822,18,22-84152,2023/03/30 18:24:57+00,3,25,0,0,5,220,1,NE 33rd McConnell - Sunderland (South),2023/03/30 18:36:51+00,,0,45.59129941752604,-122.632936
-13654066.64,5706265.734,19,23-214684,2023/12/07 22:58:18+00,2,2,0,0,5,12,0,"NE 9TH AVE andamp; NE SCHUYLER ST, PORTLAND  97232",2023/12/07 23:36:42+00,,1,45.53577094,-122.6565675
-13654625.4,5703147.517,20,BES-23-0316-04137,2023/03/17 18:22:02+00,0,0,0,0,5,5,0,Morrison Bridge Half Loop,2023/03/17 18:36:48+00,,0,45.51614652989231,-122.661587
-13647367.35,5705518.15,21,22-102816,2023/03/16 15:57:12+00,0,2,0,0,5,3,0,NE 65th Willow - Hassalo,2023/03/16 16:36:48+00,,0,45.53106666481813,-122.5963868
-13645322.39,5711105.189,22,IRP-23-0123-03887,2023/06/08 16:43:24+00,2,3,0,0,5,60,0,82nd and Columbia (west triangle) ODOT,2023/06/08 17:36:56+00,,0,45.566214353593686,-122.5780166
-13648218.69,5700154.5,23,23-145717,2023/05/04 17:26:52+00,1,1,0,0,5,5,0,SE 57TH AVE and SE POWELL BLVD FRONTAGE RD,2023/05/04 17:36:54+00,,0,45.497303623614805,-122.6040345
-13657200.31,5702973.202,24,23-158056,2023/06/09 18:37:32+00,3,3,0,0,5,20,0,1400-1499 SW 10TH AVE,2023/06/09 19:36:41+00,,0,45.51504928136933,-122.6847178
-13655776.67,5704042.173,25,24-28050,2024/04/26 18:04:57+00,6,12,0,0,5,40,0,1ST and  SW ASH ST ,2024/04/26 18:36:47+00,,0,45.52177772218796,-122.671929
-13645324.57,5696746.155,26,23-172689,2023/09/07 19:46:16+00,4,4,0,0,5,20,0,SE 83RD AVE and SE DUKE ST,2023/09/07 20:36:41+00,,0,45.47583829,-122.5780362
-13637809.9,5704260.917,27,24-06749,2024/02/08 21:28:29+00,2,4,0,0,5,20,0,"5-99 NE 148TH AVE, PORTLAND  97230",2024/02/08 21:36:40+00,,0,45.52315446678974,-122.5105308
-13654750.14,5703040.082,28,23-196465,2023/10/05 19:50:09+00,5,5,0,0,5,30,0,1000-1099 SE 3RD AVE,2023/10/05 20:36:45+00,,0,45.515470268789585,-122.6627075
-13656341.59,5704709.756,29,23-213906,2023/12/08 22:08:19+00,2,2,0,0,5,10,0,600-699 NW FLANDERS ST,2023/12/08 22:36:41+00,,0,45.52597929213674,-122.6770038
-13645060.56,5695110.984,30,24-25407,2024/04/19 20:28:01+00,2,3,0,0,5,40,0,"WEST LENTS FLOODPLAIN, PORTLAND  97266",2024/04/19 20:36:38+00,,0,45.465537279305394,-122.5756645
-13645341.23,5707648.448,31,23-217006,2024/03/13 20:14:27+00,0,4,0,0,5,15,0,"8200 NE SISKIYOU ST, PORTLAND  97220",2024/03/13 20:36:38+00,,1,45.54447081950052,-122.5781858
-13645706.65,5703938.706,32,24-32819,2024/05/10 17:37:23+00,3,8,0,0,5,60,0,SE 80TH AVE & SE ASH ST,2024/05/10 18:36:42+00,,0,45.521126503406926,-122.5814685
-13654302.27,5704606.494,33,23-217637,2024/03/15 22:13:24+00,1,2,0,0,5,1,0,"300-399 NE 7TH AVE, PORTLAND  97232",2024/03/15 22:36:42+00,,0,45.525329412165746,-122.6586842
-13650638.67,5703725.032,34,23-202194,2023/11/01 17:58:07+00,3,4,0,0,5,5,0,400-499 SE 37TH AVE,2023/11/01 18:36:15+00,,0,45.51978162059229,-122.6257736
-13645755.66,5700262.674,35,23-171089,2023/07/21 17:56:58+00,9,9,0,0,5,45,0,3300-3499 SE 79TH AVE,2023/07/21 18:36:46+00,,1,45.497984756186575,-122.5819087
-13664123.24,5715866.026,36,24-16510,2024/03/15 17:55:03+00,1,1,0,0,5,2,0,"8160 N FESSENDEN ST , PORTLAND  97203",2024/03/15 18:36:46+00,,0,45.596147117794786,-122.7469075
-13654201.35,5704046.354,37,24-19648,2024/03/28 17:31:38+00,1,2,0,0,5,5,0,"737 SE ASH ST , PORTLAND  97214",2024/03/28 17:36:48+00,,1,45.52180403714181,-122.6577777
-13643903.25,5699140.284,38,24-20061,2024/03/29 17:11:17+00,2,6,0,0,5,40,1,SE 96th and SE Cora -V5,2024/03/29 20:16:03+00,,0,45.49091707135449,-122.5652682
