ZIP_CODE,ZIP_TYPE,PREFERRED_CITY,ACCEPTABLE_CITY1,ACCEPTABLE_CITY2,ACCEPTABLE_CITY3,AVOID_CITY1,AVOID_CITY2,AVOID_CITY3,CENSUS_ZCTA,ObjectId
97467,STANDARD,REEDSPORT,WIN BAY,WINCHESTER BAY,WINCHESTR BAY,,,,97467,1
97469,STANDARD,RIDDLE,,,,,,,97469,2
97470,STANDARD,ROSEBURG,,,,RSBG,,,97470,3
97471,STANDARD,ROSEBURG,,,,,,,97471,4
97473,STANDARD,SCOTTSBURG,,,,GREENACRES,MURPHYS CAMP,,97473,5
97475,PO BOX ONLY,SPRINGFIELD,,,,,,,NO ZCTA,6
97476,STANDARD,SIXES,,,,,,,97476,7
97477,STANDARD,SPRINGFIELD,,,,SPFD,SPFLD,,97477,8
97478,STANDARD,SPRINGFIELD,,,,,,,97478,9
97479,STANDARD,SUTHERLIN,,,,,,,97479,10
97480,STANDARD,SWISSHOME,,,,,,,97480,11
97481,STANDARD,TENMILE,,,,,,,97481,12
97484,STANDARD,TILLER,,,,,,,97484,13
97486,STANDARD,UMPQUA,,,,,,,97486,14
97487,STANDARD,VENETA,,,,VAUGHN,,,97487,15
97488,STANDARD,VIDA,,,,FINN ROCK,,,97488,16
97489,STANDARD,WALTERVILLE,LEABURG,,,,,,97489,17
97490,STANDARD,WALTON,,,,,,,97490,18
97491,PO BOX ONLY,WEDDERBURN,,,,,,,NO ZCTA,19
97492,STANDARD,WESTFIR,,,,,,,97492,20
97493,STANDARD,WESTLAKE,,,,,,,97493,21
97494,PO BOX ONLY,WILBUR,,,,,,,97494,22
97495,STANDARD,WINCHESTER,,,,,,,97495,23
97496,STANDARD,WINSTON,,,,CAMAS VALLEY,,,97496,24
97497,STANDARD,WOLF CREEK,,,,SUNNYVALLEY,,,97497,25
97498,STANDARD,YACHATS,,,,,,,97498,26
97499,STANDARD,YONCALLA,,,,,,,97499,27
97501,STANDARD,MEDFORD,,,,,,,97501,28
97502,STANDARD,CENTRAL POINT,MEDFORD,,,,,,97502,29
97503,STANDARD,WHITE CITY,MEDFORD,,,,,,97503,30
97504,STANDARD,MEDFORD,,,,,,,97504,31
97520,STANDARD,ASHLAND,,,,,,,97520,32
97522,STANDARD,BUTTE FALLS,,,,,,,97522,33
97523,STANDARD,CAVE JUNCTION,,,,,,,97523,34
97524,STANDARD,EAGLE POINT,,,,,,,97524,35
97525,STANDARD,GOLD HILL,,,,,,,97525,36
97526,STANDARD,GRANTS PASS,,,,HUGO,,,97526,37
97527,STANDARD,GRANTS PASS,,,,,,,97527,38
97528,PO BOX ONLY,GRANTS PASS,,,,,,,NO ZCTA,39
97530,STANDARD,JACKSONVILLE,APPLEGATE,,,,,,97530,40
97531,STANDARD,KERBY,CAVE JUNCTION,,,,,,97531,41
97532,STANDARD,MERLIN,,,,,,,97532,42
97533,PO BOX ONLY,MURPHY,,,,,,,NO ZCTA,43
97534,STANDARD,O BRIEN,,,,,,,97534,44
97535,STANDARD,PHOENIX,,,,,,,97535,45
97536,STANDARD,PROSPECT,,,,,,,97536,46
97537,STANDARD,ROGUE RIVER,,,,,,,97537,47
97538,STANDARD,SELMA,,,,,,,97538,48
97539,STANDARD,SHADY COVE,,,,,,,97539,49
97540,STANDARD,TALENT,,,,,,,97540,50
97001,PO BOX ONLY,ANTELOPE,,,,CLARNO,,,97001,51
97002,STANDARD,AURORA,,,,BUTTEVILLE,,,97002,52
97003,STANDARD,BEAVERTON,ALOHA,HILLSBORO,,,,,97003,53
97004,STANDARD,BEAVERCREEK,,,,,,,97004,54
97005,STANDARD,BEAVERTON,,,,PROGRESS,,,97005,55
97006,STANDARD,BEAVERTON,ALOHA,HILLSBORO,,,,,97006,56
97007,STANDARD,BEAVERTON,ALOHA,,,,,,97007,57
97008,STANDARD,BEAVERTON,,,,,,,97008,58
97009,STANDARD,BORING,DAMASCUS,,,,,,97009,59
97010,PO BOX ONLY,BRIDAL VEIL,,,,,,,NO ZCTA,60
97011,STANDARD,BRIGHTWOOD,,,,,,,97011,61
97013,STANDARD,CANBY,,,,BARLOW,,,97013,62
97014,STANDARD,CASCADE LOCKS,,,,DODSON,,,97014,63
97015,STANDARD,CLACKAMAS,DAMASCUS,HAPPY VALLEY,,CARVER,,,97015,64
97016,STANDARD,CLATSKANIE,BIRKENFELD,WESTPORT,,MIST,,,97016,65
97017,STANDARD,COLTON,,,,,,,97017,66
97018,STANDARD,COLUMBIA CITY,,,,,,,97018,67
97019,STANDARD,CORBETT,,,,,,,97019,68
97020,STANDARD,DONALD,,,,,,,97020,69
97021,STANDARD,DUFUR,FRIEND,,,,,,97021,70
97022,STANDARD,EAGLE CREEK,,,,DOVER,,,97022,71
97023,STANDARD,ESTACADA,,,,,,,97023,72
97024,STANDARD,FAIRVIEW,,,,INTERLACHEN,WOOD VILLAGE,,97024,73
97026,STANDARD,GERVAIS,,,,SAINT LOUIS,,,97026,74
97027,STANDARD,GLADSTONE,,,,,,,97027,75
97028,STANDARD,GOVERNMENT CAMP,GOVERNMENT CP,TIMBERLINE LODGE,TIMBRLINE LDG,,,,97028,76
97029,STANDARD,GRASS VALLEY,,,,,,,97029,77
97030,STANDARD,GRESHAM,,,,DAMASCUS,,,97030,78
97031,STANDARD,HOOD RIVER,,,,,,,97031,79
97032,STANDARD,HUBBARD,,,,,,,97032,80
97033,PO BOX ONLY,KENT,,,,,,,97033,81
97034,STANDARD,LAKE OSWEGO,,,,LAKE GROVE,OSWEGO,,97034,82
97035,STANDARD,LAKE OSWEGO,LAKE GROVE,,,MOUNTAIN PARK,RIVERGROVE,,97035,83
97036,PO BOX ONLY,MARYLHURST,,,,,,,NO ZCTA,84
97037,STANDARD,MAUPIN,,,,PINE GROVE,,,97037,85
97038,STANDARD,MOLALLA,,,,LIBERAL,,,97038,86
97039,STANDARD,MORO,,,,,,,97039,87
97040,STANDARD,MOSIER,,,,,,,97040,88
97041,STANDARD,MOUNT HOOD PARKDALE,MT HOOD PRKDL,,,MOUNT HOOD,MT HOOD,PARKDALE,97041,89
97042,STANDARD,MULINO,,,,,,,97042,90
