Resource Name,Address,Zip,hours,library,library_open,temporary_shelter,day_center,coord_reentry,group_therapy,showers,meals,food_box,laundry,health_services,misc_services,description,URL,full_address,Latitude,Longitude,Address_clean,Zip_clean,ADDRESS_clean,ZIP_clean,match_method,match_score,match_method_display,neighborhood
Albina Library,205 NE Russell Street,97212,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"205 NE Russell Street, Portland, OR 97212",45.541366439963305,-122.6631345,205 NE RUSSELL STREET,97212,205 NE RUSSELL STREET,97212,exact,,exact,Eliot
Capitol Hill Library,10723 SW Capitol Highway,97219,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"10723 SW Capitol Highway, Portland, OR 97219",45.44804216118064,-122.7254303,10723 SW CAPITOL HIGHWAY,97219,,,fuzzy,90.90909091,fuzzy (90.9%),West Portland Park
Central Library,801 SW 10th Avenue,97205,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"801 SW 10th Avenue, Portland, OR 97205",45.51905572713763,-122.6822571,801 SW 10TH AVENUE,97205,801 SW 10TH AVENUE,97205,exact,,exact,Portland Downtown
Gregory Heights Library,7921 NE Sandy Boulevard,97213,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"7921 NE Sandy Boulevard, Portland, OR 97213",45.55179953,-122.5813727,7921 NE SANDY BOULEVARD,97213,,,none,,none,Roseway
Hillsdale Library,1525 SW Sunset Boulevard,97239,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"1525 SW Sunset Boulevard, Portland, OR 97239",45.47990597,-122.6940985,1525 SW SUNSET BOULEVARD,97239,,,none,,none,Hillsdale
Holgate Library,7905 SE Holgate Boulevard,97206,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"7905 SE Holgate Boulevard, Portland, OR 97206",45.49062657,-122.5822888,7905 SE HOLGATE BOULEVARD,97206,,,none,,none,Foster-Powell
Kenton Library,8226 N Denver Avenue,97217,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"8226 N Denver Avenue, Portland, OR 97217",45.582857224659215,-122.6863928,8226 N DENVER AVENUE,97217,8226 N DENVER AVENUE,97217,exact,,exact,Kenton
Midland Library,805 SE 122nd Avenue,97233,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"805 SE 122nd Avenue, Portland, OR 97233",45.51669359075793,-122.5385736,805 SE 122ND AVENUE,97233,805 SE 122ND AVENUE,97233,exact,,exact,Mill Park
North Portland Library,512 N Killingsworth Street,97217,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"512 N Killingsworth Street, Portland, OR 97217",45.56245395292595,-122.6715206,512 N KILLINGSWORTH STREET,97217,512 N KILLINGSWORTH STREET,97217,exact,,exact,Humboldt
Northwest Library,2300 NW Thurman Street,97210,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"2300 NW Thurman Street, Portland, OR 97210",45.53529876654214,-122.6992013,2300 NW THURMAN STREET,97210,2300 NW THURMAN STREET,97210,exact,,exact,Northwest District
Belmont Library,"1038 SE Cesar Estrada Chavez Blvd, Portland, OR 97214",97214,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"1038 SE Cesar Estrada Chavez Blvd, Portland, OR 97214",45.51546083,-122.6226473,1038 SE CÃƒâ€°SAR E CHÃƒÂVEZ BOULEVARD,97214,,,none,,none,Sunnyside
Hollywood Library,4040 NE Tillamook Street,97212,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"4040 NE Tillamook Street, Portland, OR 97212",45.53766361456348,-122.6212679,4040 NE TILLAMOOK STREET,97212,4040 NE TILLAMOOK STREET,97212,exact,,exact,Hollywood
Rockwood Library,17917 SE Stark Street,97233,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"17917 SE Stark Street, Portland, OR 97233",45.51967707004936,-122.479011,17917 SE STARK STREET,97233,17917 SE STARK STREET,97233,exact,,exact,Rockwood
Sellwood-Moreland Library,7860 SE 13th Avenue,97202,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"7860 SE 13th Avenue, Portland, OR 97202",45.46752500014773,-122.6527663,7860 SE 13TH AVENUE,97202,7860 SE 13TH AVENUE,97202,exact,,exact,Sellwood-Moreland
St. Johns Library,7510 N Charleston Avenue,97203,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"7510 N Charleston Avenue, Portland, OR 97203",45.58998194544821,-122.751066,7510 N CHARLESTON AVENUE,97203,7510 N CHARLESTON AVENUE,97203,exact,,exact,St. Johns
Woodstock Library,6008 SE 49th Avenue,97206,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"6008 SE 49th Avenue, Portland, OR 97206",45.47885949,-122.6121065,6008 SE 49TH AVENUE,97206,6008 SE 49TH AVENUE,97206,exact,,exact,Woodstock
Clackamas Service Center,8800 SE 80th Avenue,97206,Tuesday-Thursday 10am-1pm,0,1,0,1,0,0,1,0,0,0,0,0,"Provides hot showers with shampoo, soap, and a towel. Change of underclothes provided when available. Showers limited to 15 minutes.",TBD,"8800 SE 80th Avenue, Portland, OR 97206",45.46021728606144,-122.581071,8800 SE 80TH AVENUE,97206,8800 SE 80TH AVENUE,97206,exact,,exact,Brentwood-Darlington
Cultivate Initiatives,3130 SE 148th Avenue,97236,Varies,0,1,0,1,0,0,1,0,0,0,1,1,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"3130 SE 148th Avenue, Portland, OR 97236",45.49956100051255,-122.5095894,3130 SE 148TH AVENUE,97236,3130 SE 148TH AVENUE,97236,exact,,exact,Centennial
