Resource Name,Address,Zip,hours,library,open,temporary_shelter,day_center,coord_reentry,group_therapy,showers,meals,food_box,laundry,health_services,misc_services,description,URL,full_address,Latitude,Longitude,Address_clean,Zip_clean,ADDRESS_clean,ZIP_clean,match_method,match_score,match_method_display,neighborhood,resource_calc-nolib,resource_calc_total
Albina Library,205 NE Russell Street,97212.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"205 NE Russell Street, Portland, OR 97212",45.541366439963305,-122.6631345,205 NE RUSSELL STREET,97212.0,205 NE RUSSELL STREET,97212.0,exact,,exact,Eliot,0,1
Capitol Hill Library,10723 SW Capitol Highway,97219.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"10723 SW Capitol Highway, Portland, OR 97219",45.44804216118064,-122.7254303,10723 SW CAPITOL HIGHWAY,97219.0,,,fuzzy,90.90909091,fuzzy (90.9%),West Portland Park,0,1
Central Library,801 SW 10th Avenue,97205.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"801 SW 10th Avenue, Portland, OR 97205",45.51905572713763,-122.6822571,801 SW 10TH AVENUE,97205.0,801 SW 10TH AVENUE,97205.0,exact,,exact,Portland Downtown,0,1
Gregory Heights Library,7921 NE Sandy Boulevard,97213.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"7921 NE Sandy Boulevard, Portland, OR 97213",45.55179953,-122.5813727,7921 NE SANDY BOULEVARD,97213.0,,,none,,none,Roseway,0,1
Hillsdale Library,1525 SW Sunset Boulevard,97239.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"1525 SW Sunset Boulevard, Portland, OR 97239",45.47990597,-122.6940985,1525 SW SUNSET BOULEVARD,97239.0,,,none,,none,Hillsdale,0,1
Holgate Library,7905 SE Holgate Boulevard,97206.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"7905 SE Holgate Boulevard, Portland, OR 97206",45.49062657,-122.5822888,7905 SE HOLGATE BOULEVARD,97206.0,,,none,,none,Foster-Powell,0,1
Kenton Library,8226 N Denver Avenue,97217.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"8226 N Denver Avenue, Portland, OR 97217",45.582857224659215,-122.6863928,8226 N DENVER AVENUE,97217.0,8226 N DENVER AVENUE,97217.0,exact,,exact,Kenton,0,1
Midland Library,805 SE 122nd Avenue,97233.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"805 SE 122nd Avenue, Portland, OR 97233",45.51669359075793,-122.5385736,805 SE 122ND AVENUE,97233.0,805 SE 122ND AVENUE,97233.0,exact,,exact,Mill Park,0,1
North Portland Library,512 N Killingsworth Street,97217.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"512 N Killingsworth Street, Portland, OR 97217",45.56245395292595,-122.6715206,512 N KILLINGSWORTH STREET,97217.0,512 N KILLINGSWORTH STREET,97217.0,exact,,exact,Humboldt,0,1
Northwest Library,2300 NW Thurman Street,97210.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"2300 NW Thurman Street, Portland, OR 97210",45.53529876654214,-122.6992013,2300 NW THURMAN STREET,97210.0,2300 NW THURMAN STREET,97210.0,exact,,exact,Northwest District,0,1
Belmont Library,"1038 SE Cesar Estrada Chavez Blvd, Portland, OR 97214",97214.0,TBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"1038 SE Cesar Estrada Chavez Blvd, Portland, OR 97214",45.51546083,-122.6226473,1038 SE CÃƒâ€°SAR E CHÃƒÂVEZ BOULEVARD,97214.0,,,none,,none,Sunnyside,0,0
Hollywood Library,4040 NE Tillamook Street,97212.0,TBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"4040 NE Tillamook Street, Portland, OR 97212",45.53766361456348,-122.6212679,4040 NE TILLAMOOK STREET,97212.0,4040 NE TILLAMOOK STREET,97212.0,exact,,exact,Hollywood,0,0
