X,Y,OBJECTID,inc_date_create,inc_id,duplicate,item_date_create,IS_VEHICLE,report_id,latitude,longitude,zip_code,NAME,year,month
-13643595.1169,5695238.1804,1,2025/06/09 14:38:05+00,25-154473,0,20250609073114,No,883873,45.466338639903,-122.5625002384974,97266,Lents,2025,6
-13644286.6331,5697240.4706,3,2025/06/09 14:38:04+00,25-154471,0,20250609072825,No,883866,45.478951933462405,-122.56871223421415,97266,Lents,2025,6
-13658283.227,5704873.9207,5,2025/06/09 14:38:04+00,25-154469,0,20250609072647,No,883863,45.527012448133064,-122.69444577647397,97209,Northwest District,2025,6
-13654758.4799,5703093.6742,7,2025/06/09 14:38:04+00,25-154467,0,20250609072617,No,883861,45.51580761164256,-122.66278243454813,97214,Buckman,2025,6
-13656702.6582,5704915.2938,10,2025/06/09 14:38:03+00,25-154464,0,20250609072510,No,883857,45.52727282307902,-122.68024728536754,97209,Pearl District,2025,6
-13658346.8662,5706590.2665,13,2025/06/09 14:28:04+00,25-154461,0,20250609072059,No,883852,45.53781298210796,-122.69501745713427,97209,Northwest District,2025,6
-13647368.2696,5699045.1141,15,2025/06/09 14:28:04+00,25-154459,0,20250609071916,No,883846,45.49031774612357,-122.59639504589464,97206,Foster-Powell,2025,6
-13651276.5321,5700073.5465,16,2025/06/09 14:28:03+00,25-154458,0,20250609071746,Yes,883844,45.49679388330086,-122.63150356527565,97202,Creston-Kenilworth,2025,6
-13657522.7795,5705991.1028,19,2025/06/09 14:08:03+00,25-154455,0,20250609065531,No,883828,45.534042830755126,-122.6876145603538,97209,Northwest District,2025,6
-13660144.0321,5707214.3099,21,2025/06/09 13:58:03+00,25-154453,0,20250609064945,Yes,883821,45.54173941666427,-122.71116167309495,97210,Mc Unclaimed #14,2025,6
-13653018.9664,5700194.0466,22,2025/06/09 13:58:03+00,25-154452,0,20250609064610,No,883817,45.49755263521389,-122.6471561189083,97202,Brooklyn,2025,6
-13653056.5878,5700300.3418,23,2025/06/09 13:48:04+00,25-154451,0,20250609064338,No,883814,45.49822193477178,-122.6474940776946,97202,Brooklyn,2025,6
-13655434.005,5710575.8407,24,2025/06/09 13:48:03+00,25-154450,0,20250609063815,No,883812,45.56288520134663,-122.6688507797695,97217,Humboldt,2025,6
-13658094.8629,5705831.66,30,2025/06/09 13:28:03+00,25-154444,0,20250609060842,No,883798,45.53303951730107,-122.6927536729739,97209,Northwest District,2025,6
-13643023.0335,5705785.2958,31,2025/06/09 13:20:16+00,25-154443,0,20250609060554,No,883797,45.53274776150366,-122.55736112587728,97220,Hazelwood,2025,6
-13643156.4997,5704027.2441,35,2025/06/09 13:20:15+00,25-154439,0,20250609005203,No,883776,45.521683760519856,-122.55856007315101,97216,Hazelwood,2025,6
-13648089.3523,5699377.9418,38,2025/06/09 13:20:15+00,25-154436,0,20250609003124,No,883773,45.49241367548713,-122.6028726419999,97206,Creston-Kenilworth,2025,6
-13665153.9419,5713847.6854,41,2025/06/09 06:28:08+00,25-154433,0,20250608231756,Yes,883751,45.58345917317017,-122.75616645854896,97203,Cathedral Park,2025,6
-13642348.2379,5700284.8156,47,2025/06/09 04:38:04+00,25-154427,0,20250608213023,Yes,883717,45.498124172821505,-122.55129933386591,97266,Powellhurst-Gilbert,2025,6
-13654201.8771,5706547.4755,50,2025/06/09 04:28:03+00,25-154424,0,20250608211502,Yes,883708,45.537543734280185,-122.65778238652389,97212,Irvington,2025,6
-13654218.5134,5706279.2258,51,2025/06/09 04:18:08+00,25-154423,0,20250608211038,No,883707,45.535855834816644,-122.6579318329495,97212,Irvington,2025,6
-13654342.6583,5706275.4975,52,2025/06/09 04:18:08+00,25-154422,0,20250608210907,Yes,883705,45.53583237499049,-122.65904704556065,97212,Eliot,2025,6
-13656570.8996,5709288.8586,58,2025/06/09 03:18:03+00,25-154416,0,20250608200809,No,883682,45.554790351579925,-122.67906367772561,97217,Overlook,2025,6
-13653067.3368,5702979.818,59,2025/06/09 03:08:08+00,25-154415,0,20250608195903,Yes,883671,45.51509092703561,-122.6475906376045,97214,Buckman,2025,6
-13638075.5274,5704806.9261,65,2025/06/09 02:48:03+00,25-154409,0,20250608194159,No,883654,45.5265908258447,-122.51291692239823,97230,Hazelwood,2025,6
-13665581.8101,5714783.6658,66,2025/06/09 02:28:05+00,25-154408,0,20250608192432,No,883643,45.58934340662996,-122.76001006398545,97203,Cathedral Park,2025,6
-13653393.04,5705980.1051,69,2025/06/09 02:08:04+00,25-154405,0,20250608190410,No,883628,45.53397362694827,-122.65051647923094,97232,Lloyd,2025,6
